Unused functions :

Strip   pad
   96     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[73]
  312     4 AddObject__14IRadObjectListP9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[71]
  120     0 __rf__Ct3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[70]
   64     0 __ne__Ct3ref1Z10IRadStringP10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[69]
   48     4 __opP10IRadString__t3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[67]
   64     0 __dl__t3ref1Z14IRadObjectListPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[64]
   64     0 __dl__t3ref1Z10IRadStringPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[63]
  200     4 __14IRadObjectListUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[62]
  104     0 __nw__9radObjectUii in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[61]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[59]
  224     0 __as__t3ref1Z14IRadObjectListP14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[47]
  224     0 __as__t3ref1Z10IRadStringP10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[46]
  120     0 __rf__Ct3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[37]
  112     4 __ad__t3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[35]
   96     4 radObjectListCreate__FPP14IRadObjectListi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[30]
  112     4 __ad__t3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[29]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[28]
  160     0 _$_t3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[25]
  160     0 _$_t3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[24]
   48     4 __t3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[23]
   48     4 __t3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(platform.o)[22]
   96     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[105]
  144     0 radMakeCaseInsensitiveKey32__FPCcUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[95]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[90]
  112     0 __tf26IRadFileCompletionCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[75]
  112     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[74]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[33]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[32]
   48     4 GetThisAllocator__9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[29]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[21]
   88     0 __26IRadFileCompletionCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[20]
  104     0 __nw__9radObjectUii in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(cementer.o)[17]
   56     0 radFileSetAutoMount__Fb in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[57]
   56     0 radFileSetConnectTimeOut__FUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[51]
   56     0 radSetDefaultGranularity__FUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[45]
   56     0 radGetDefaultDrive__FPc in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[43]
   80     0 radDriveOpenSync__FPP9IRadDrivePCc15radFilePriorityi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[39]
  104     0 radSaveGameOpenSync__FPP8IRadFilePCcb16radFileOpenFlagsP14radMemcardInfoUi15radFilePriority in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[35]
  104     0 radSaveGameOpenAsync__FPP8IRadFilePCcb16radFileOpenFlagsP14radMemcardInfoUi15radFilePriority in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[33]
   64     0 radFileGetRootDirectory__FPCcPc in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[27]
   64     0 radFileSetRootDirectory__FPCcT0 in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(radfile.o)[25]
   64     0 __dl__t3ref1Z9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[481]
   64     0 __dl__t3ref1Z14IRadMemoryPoolPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[480]
  128     0 _$_t3ref1Z9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[479]
  104     4 Dump__17radObjectListNodePcUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[477]
   48     0 GetObjectSize__17radObjectListNode in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[476]
   96     4 _$_17radObjectListNode in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[475]
  128     0 __tf17radObjectListNode in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[474]
  160     0 _$_t3ref1Z14IRadMemoryPool in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[473]
  232     4 RemoveAll__14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[472]
   48     4 __t3ref1Z9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[471]
   64     4 Release__14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[468]
   64     4 AddRef__14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[467]
  104     4 Dump__14IRadObjectListPcUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[466]
   48     0 GetObjectSize__14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[465]
  160     4 _$_14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[464]
  152     0 __tf14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[463]
   64     0 __dl__t3ref1Z10IRadStringPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[461]
   48     4 __t3ref1Z14IRadMemoryPool in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[459]
   96     0 __nw__17radObjectListNodeUii in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[455]
  136     4 __17radObjectListNode in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[454]
   48     4 __nw__17radObjectListNodeUiPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[453]
  112     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[448]
  160     0 _$_t3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[422]
   64     0 __dl__t3ref1Z14IRadObjectListPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[420]
  216     4 Implement_Release__11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[419]
  120     0 Implement_AddRef__11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[418]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[409]
  200     4 __14IRadObjectListUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[407]
   48     4 __opP9IRefCount__t3ref1Z9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[406]
  120     4 Destroy__17radObjectListNodeP17radObjectListNodei in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[405]
  152     0 Destroy__17radObjectListNodeP17radObjectListNodeP14IRadMemoryPool in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[404]
   64     0 __eq__Ct3ref1Z9IRefCountP9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[403]
  144     4 __as__t3ref1Z9IRefCountP9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[402]
   96     0 Construct__17radObjectListNodei in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[401]
   48     4 GetThisAllocator__9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[400]
  136     0 Construct__17radObjectListNodeP14IRadMemoryPool in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[399]
   48     4 __opP14IRadMemoryPool__t3ref1Z14IRadMemoryPool in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[398]
   64     0 __ne__Ct3ref1Z14IRadMemoryPoolP14IRadMemoryPool in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[397]
  128     0 __tf11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[378]
  112     0 __tf17IRadTimerCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[357]
  128     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[356]
  120     0 __rf__Ct3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[276]
  112     4 __ad__t3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[274]
   48     4 __t3ref1Z10IRadString in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[271]
   72     4 Initialize__20LGDevWheelInputPointP13lgDevPosition in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[255]
  144     4 _$_11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[253]
  192     0 __11radRefCountUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[249]
  136     0 radAddRef__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[151]
  312     4 AddObject__14IRadObjectListP9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[118]
  400     4 RemoveObject__14IRadObjectListP9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[112]
  136     4 GetNext__14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[81]
   48     0 Reset__14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[80]
   64     0 __ne__Ct3ref1Z14IRadObjectListP14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[79]
  296     4 GetAt__14IRadObjectListUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[76]
   48     4 GetSize__14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[74]
  120     0 __rf__Ct3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[73]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[69]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[68]
  160     0 _$_t3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[67]
  224     0 __as__t3ref1Z14IRadObjectListP14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[63]
   96     4 radObjectListCreate__FPP14IRadObjectListi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[40]
  112     4 __ad__t3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[39]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[38]
   48     4 __t3ref1Z14IRadObjectList in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[34]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[30]
   56     4 __17IRadTimerCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[29]
  136     0 radRelease__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[24]
  104     0 __nw__9radObjectUii in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(ps2controller.o)[21]
  112     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[89]
  128     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[85]
  216     4 Implement_Release__11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[76]
  120     0 Implement_AddRef__11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[75]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[72]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[69]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[62]
  112     0 __tf31IRadDbgComChannelStatusCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[59]
  128     0 __tf32IRadDbgComChannelReceiveCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[58]
  128     0 __tf29IRadDbgComChannelSendCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[57]
  128     0 __tf11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[56]
   48     0 radPlatformEndian32__FUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[30]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[27]
  144     4 _$_11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[26]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[20]
  192     0 __11radRefCountUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[13]
   88     0 __29IRadDbgComChannelSendCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[12]
   88     0 __32IRadDbgComChannelReceiveCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[11]
   56     4 __31IRadDbgComChannelStatusCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandtarget.o)[10]
   96     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[99]
  112     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[96]
  216     4 Implement_Release__11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[86]
  120     0 Implement_AddRef__11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[85]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[83]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[81]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[74]
  112     0 __tf11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[68]
   48     4 GetThisAllocator__9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[49]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[31]
  144     4 _$_11radRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[30]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[26]
  192     0 __11radRefCountUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[20]
  136     0 radRelease__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[17]
  104     0 __nw__9radObjectUii in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(remotecommandserver.o)[12]
  112     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[112]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[99]
  112     0 __tf31IRadDbgComChannelStatusCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[84]
  128     0 __tf32IRadDbgComChannelReceiveCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[83]
  128     0 __tf29IRadDbgComChannelSendCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[82]
  128     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[81]
   56     4 radPlatformEndian16__FUs in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[48]
   48     0 radPlatformEndian32__FUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[43]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[34]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[33]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[29]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[22]
   88     0 __29IRadDbgComChannelSendCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[21]
   88     0 __32IRadDbgComChannelReceiveCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[20]
   56     4 __31IRadDbgComChannelStatusCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[19]
  136     0 radRelease__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[15]
  104     0 __nw__9radObjectUii in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(watchclient.o)[12]
  112     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[131]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[118]
  128     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[93]
   48     0 radPlatformEndian32__FUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[76]
  136     0 radAddRef__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[70]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[29]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[28]
  136     0 radRelease__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[27]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[20]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[16]
  104     0 __nw__9radObjectUii in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(consoleclient.o)[11]
  136     0 radRelease__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(target1394socket.o)[24]
  136     0 radAddRef__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(target1394socket.o)[21]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(target1394socket.o)[16]
   96     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[84]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[68]
  112     0 __tf20IRadDispatchCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[55]
  112     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[54]
  112     0 __tf15IRadThreadMutex in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[53]
   48     0 radPlatformEndian32__FUi in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[36]
   56     4 radPlatformEndian16__FUs in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[31]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[27]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[26]
  152     4 _$_t13radSingleLock1Z15IRadThreadMutex in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[25]
  208     0 __t13radSingleLock1Z15IRadThreadMutexP15IRadThreadMutexb in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[23]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[18]
   88     0 __15IRadThreadMutex in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[12]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[11]
   88     0 __20IRadDispatchCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetconnection.o)[10]
   96     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[100]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[83]
  112     0 __tf17IRadDbgComChannel in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[69]
   96     0 __tf17IRadTimerCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[68]
  112     0 __tf20IRadDispatchCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[67]
  112     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[66]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[28]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[27]
  136     0 radRelease__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[26]
  136     0 radAddRef__FP9IRefCountPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[20]
  192     4 radMemoryMonitorIdentifyAllocation__FPvPCcT1PUi14radMemorySpace in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[19]
  184     0 __9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[13]
   88     0 __20IRadDispatchCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[12]
   56     4 __17IRadTimerCallback in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[11]
   88     0 __17IRadDbgComChannel in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetdecichannel.o)[10]
   96     0 __tf9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[102]
   56     4 __9IRefCount in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[86]
  112     0 __tf15IRadThreadMutex in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[69]
  112     0 __tf9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[68]
  152     4 _$_t13radSingleLock1Z15IRadThreadMutex in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[36]
  208     0 __t13radSingleLock1Z15IRadThreadMutexP15IRadThreadMutexb in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[35]
   64     0 __dl__9radObjectPv in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[31]
  160     0 _$_9radObject in D:\simpsonsrr2\game\libs\radcore\lib\radcorepd.a(targetsocketchannel.o)[30]
